country,region,development,energy,energy_type,group,energy_group,etf,etf_proxy,marketScore,market_score,policyScore,policy_score,macroScore,macro_score,totalScore,total_score,riskLabel,risk_label,alpha,beta,annualized_volatility,gdp,gdp_growth,inflation,debt,debt_to_gdp,fx,fx_volatility,policy_stability,keywords,policy_keywords,news_article_count,macro_source,market_source,policy_source,llm_source,marketWeight,policyWeight,macroWeight,countrySpecificRiskScore,mainRiskDriver,riskDifference,expected_annual_return,estimated_sigma,probPositive,prob5,prob8,prob10,downsideProbability,growth_coefficient,stability_coefficient,risk_coefficient,volatility_coefficient,probability_model_source,llm_interpretation,llm_status,ai,ai_interpretation
United States,North America,Advanced,Solar PV,Solar PV,Renewable,Renewable,TAN,TAN,81.14,81.14,39.88,39.88,50.13,50.13,59.46,59.46,Medium-High,Medium-High,0.00722,0.89,0.2335,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.196,0.4085,0.3954,52.02,Macro Risk,-7.44,3.73,0.4034,53.7,48.7,45.8,43.8,46.3,0.4528,0.1603,0.0956,0.2335,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Onshore Wind,Onshore Wind,Renewable,Renewable,FAN,FAN,58.96,58.96,39.32,39.32,50.13,50.13,50.42,50.42,Medium,Medium,0.01443,0.578,0.1736,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1824,0.4146,0.4029,47.25,Macro Risk,-3.17,13.7,0.3177,66.7,60.8,57.1,54.6,33.3,0.4528,0.1603,0.0855,0.1736,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Offshore Wind,Offshore Wind,Renewable,Renewable,FAN,FAN,60.06,60.06,41.04,41.04,50.13,50.13,51.38,51.38,Medium,Medium,0.01443,0.578,0.1736,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1815,0.4176,0.4009,48.14,Macro Risk,-3.24,13.59,0.3204,66.4,60.6,56.9,54.5,33.6,0.4528,0.1603,0.0866,0.1736,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Hydropower,Hydropower,Renewable,Renewable,ICLN,ICLN,71.66,71.66,38.96,38.96,50.13,50.13,55.39,55.39,Medium-High,Medium-High,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1917,0.4094,0.3989,49.68,Macro Risk,-5.71,7.42,0.3648,58.1,52.6,49.4,47.2,41.9,0.4528,0.1603,0.091,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Geothermal,Geothermal,Renewable,Renewable,ICLN,ICLN,71.22,71.22,37.76,37.76,50.13,50.13,54.86,54.86,Medium,Medium,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1924,0.4074,0.4003,49.15,Macro Risk,-5.71,7.65,0.3632,58.3,52.9,49.6,47.4,41.7,0.4528,0.1603,0.0904,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Biomass,Biomass,Renewable,Renewable,ICLN,ICLN,75.18,75.18,38.68,38.68,50.13,50.13,56.72,56.72,Medium-High,Medium-High,0.00999,0.788,0.2065,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1918,0.4089,0.3992,50.25,Macro Risk,-6.47,6.97,0.3686,57.5,52.1,48.9,46.7,42.5,0.4528,0.1603,0.0925,0.2065,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Nuclear,Nuclear,Low Carbon,Low Carbon,URA,URA,100.0,100.0,43.88,43.88,50.13,50.13,68.2,68.2,Medium-High,Medium-High,0.00559,2.335,0.4534,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.2752,0.3734,0.3515,61.53,Market Risk,-6.67,-0.3,0.6483,49.8,46.7,44.9,43.7,50.2,0.4528,0.1603,0.1053,0.4534,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Natural Gas,Natural Gas,Fossil,Fossil,XLE,XLE,67.25,67.25,40.0,40.0,50.13,50.13,53.94,53.94,Medium,Medium,0.01085,-0.035,0.2125,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.164,0.425,0.411,48.63,Macro Risk,-5.31,7.67,0.3666,58.3,52.9,49.6,47.5,41.7,0.4528,0.1603,0.0894,0.2125,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,LNG,LNG,Fossil,Fossil,XLE,XLE,68.57,68.57,40.92,40.92,50.13,50.13,54.74,54.74,Medium,Medium,0.01085,-0.035,0.2125,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1636,0.4265,0.4099,49.22,Macro Risk,-5.52,7.6,0.3689,58.2,52.8,49.6,47.4,41.8,0.4528,0.1603,0.0903,0.2125,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
United States,North America,Advanced,Oil,Oil,Fossil,Fossil,XLE,XLE,70.11,70.11,40.76,40.76,50.13,50.13,55.31,55.31,Medium-High,Medium-High,0.01085,-0.035,0.2125,2.793,2.793,2.9495,117.9732,117.9732,0.0,0.0,48.0977,no matched keyword,no matched keyword,0,World Bank API,Yahoo Finance chart API,GDELT 2.1 DOC API,OpenAI Chat Completions API,0.1637,0.4263,0.4101,49.41,Macro Risk,-5.9,7.12,0.3705,57.6,52.3,49.0,46.9,42.4,0.4528,0.1603,0.0909,0.2125,Country-calibrated proxy coefficients estimated from World Bank/WGI macro data and Yahoo Finance ETF volatility,,LLM call failed: HTTP Error 429: Too Many Requests,,
